cohort	patient_id	specimen_id	focus_id	aliquot_id	assay_id	source_id	source_origin_id	platform	modality	match_evidence	match_status	rule_version	inclusion	reason	synthetic
TCGA-SYN	TCGA-0001	TCGA-0001-01A	F1	TCGA-0001-01A-RNA	TCGA-0001-01A-RNA	syn.tcga.star.0001	syn.tcga.star.0001	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0001	TCGA-0001-01A	F1	TCGA-0001-01A-METH	TCGA-0001-01A-METH	syn.tcga.meth.0001	syn.tcga.meth.0001	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0002	TCGA-0002-01A	F1	TCGA-0002-01A-RNA	TCGA-0002-01A-RNA	syn.tcga.star.0002	syn.tcga.star.0002	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0002	TCGA-0002-01A	F1	TCGA-0002-01A-METH	TCGA-0002-01A-METH	syn.tcga.meth.0002	syn.tcga.meth.0002	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0003	TCGA-0003-01A	F1	TCGA-0003-01A-RNA	TCGA-0003-01A-RNA	syn.tcga.star.0003	syn.tcga.star.0003	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0003	TCGA-0003-01A	F1	TCGA-0003-01A-METH	TCGA-0003-01A-METH	syn.tcga.meth.0003	syn.tcga.meth.0003	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0004	TCGA-0004-01A	F1	TCGA-0004-01A-RNA	TCGA-0004-01A-RNA	syn.tcga.star.0004	syn.tcga.star.0004	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0004	TCGA-0004-01A	F1	TCGA-0004-01A-METH	TCGA-0004-01A-METH	syn.tcga.meth.0004	syn.tcga.meth.0004	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0005	TCGA-0005-01A	F1	TCGA-0005-01A-RNA	TCGA-0005-01A-RNA	syn.tcga.star.0005	syn.tcga.star.0005	STAR-synthetic	expression	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
TCGA-SYN	TCGA-0005	TCGA-0005-01A	F1	TCGA-0005-01A-METH	TCGA-0005-01A-METH	syn.tcga.meth.0005	syn.tcga.meth.0005	450K-synthetic	methylation	synthetic-map	resolved	synthetic-fixture-v1	include	chosen-focus	true
