set_id	raw_members	unique_loci	provenance_and_direction	primary_P_overlap	existing_CPC_expression_evidence	existing_v18_two_platform_evidence	existing_promoter_evidence	recommendation
T_CELL_INFLAMED_GEP_18	18	18	Exact Ayers 18-gene membership; original score is a signed coefficient-weighted sum with CD276 negative, whereas recovered GMT is unweighted/unoriented	0/8	0/18 members were included in the existing matrix-wide finite-value audit; full coverage unknown	0/18 members were included in the existing two-platform mapping audit; full coverage unknown	No member was included in the existing promoter audit; not needed unless later promoted to a methylation predictor	CONDITIONAL_SECONDARY_1
C7_T_CELL_EXHAUSTION_CORE	15	15	Custom composite; name is not an identifiable MSigDB C7 set; mixes receptors, regulators, cytokines, chemokines, and effector genes; direction unspecified	0/8	0/15 audited; unknown	0/15 audited; unknown	None audited; unknown	EXPLORATORY_DEFER
HALLMARK_INTERFERON_GAMMA_RESPONSE_MINI	10	10	Custom mini, not official Hallmark M5913/200; only 7/10 raw members occur in the current official set; direction locally unspecified despite reference set being IFNG-up	0/8	0/10 audited; unknown	0/10 audited; unknown	None audited; unknown	DO_NOT_USE_AS_NAMED_REPLACE_WITH_OFFICIAL_REFERENCE
HALLMARK_TNFA_SIGNALING_VIA_NFKB_MINI	10	10	Custom 10-member subset of official Hallmark M5890/200; all 10 occur in current official set, but no source-based subset rule or score direction was recovered	0/8	0/10 audited; unknown	0/10 audited; unknown	None audited; unknown	EXPLORATORY_DEFER
EPIGENETIC_IMMUNE_PRIMING	18	18	Custom mixed chromatin-regulator and immune-effector composite; no exact source membership or coherent signed direction recovered	2/8: B2M,TAP1	Only B2M and TAP1 were audited finite in all 213 CPC expression columns; other 16 unknown	Only B2M and TAP1 were verified one-to-one in both historical v18 databases; other 16 unknown	Inspection-only unmasked +/-1500-bp candidates known for B2M=14 and TAP1=83; other 16 unknown; not final Q	EXPLORATORY_DEFER
EPIGENETIC_CHECKPOINT_REGULATION	15	15	Custom mixed chromatin regulators, signaling genes, tumor suppressors, and checkpoint ligands; no exact source membership or coherent direction recovered	0/8	0/15 audited; unknown	0/15 audited; unknown	None audited; unknown	EXPLORATORY_DEFER
PRC2_IMMUNE_TARGETS	12	12	Custom PRC2-plus-immune-target composite; no exact source membership or direction recovered; overlaps primary outcome biology heavily	6/8: HLA-A,HLA-B,HLA-C,B2M,TAP1,TAP2	Those 6 overlapping genes were audited finite in all 213 CPC expression columns; other 6 unknown	Those 6 were verified one-to-one in both historical v18 databases; other 6 unknown	Inspection-only unmasked +/-1500-bp candidates: HLA-A=3,HLA-B=8,HLA-C=12,B2M=14,TAP1=83,TAP2=75; other 6 unknown; not final Q	EXPLORATORY_MECHANISM_ONLY
SWI_SNF_ICB	10	10	Custom complex-member plus CIITA/IRF1 composite; no exact source membership or signed direction recovered	0/8	0/10 audited; unknown	0/10 audited; unknown	None audited; unknown	EXPLORATORY_DEFER
DNMT_IMMUNE_LOCI	11	11	Custom DNMT/TET plus immune-effector composite; regulator abundance and target activation do not share a defensible common sign	0/8	0/11 audited; unknown	0/11 audited; unknown	None audited; unknown	EXPLORATORY_DEFER
HISTONE_WRITERS_ICB	10	10	Custom mixed writers, erasers, coactivators, and IFNG/STAT1 effectors; title is internally inaccurate and direction unspecified	0/8	0/10 audited; unknown	0/10 audited; unknown	None audited; unknown	EXPLORATORY_DEFER
RETROELEMENT_SENSING	12	11	Custom RNA-sensing, DNA-sensing, transcriptional, and effector composite; CGAS and MB21D1 are one locus; TMEM173 is the alias of current STING1; direction unspecified	0/8	0/12 raw tokens audited; unknown	0/12 raw tokens audited; alias-sensitive coverage unknown	None audited; unknown	EXPLORATORY_UNTIL_CANONICALIZED_AND_RESOURCED
T_CELL_EXHAUSTION_EPIGENETIC	12	12	Custom mixture of exhaustion regulators, receptors, and differentiation factors; no exact source membership or coherent direction recovered	0/8	0/12 audited; unknown	0/12 audited; unknown	None audited; unknown	EXPLORATORY_DEFER
T_CELL_MEMORY_EPIGENETIC	10	10	Custom memory/naive-like T-cell state markers and regulators; no exact source membership or direction recovered; primarily immune-cell-origin signal	0/8	0/10 audited; unknown	0/10 audited; unknown	None audited; unknown	EXPLORATORY_DEFER
HOPE_18	18	18	Exact Kondou et al. prognosis-selected membership, not an ICI-response program; HAVCR2 has adverse survival direction while other 17 were favorable in univariate median-split analyses; recovered GMT is unweighted/unoriented	0/8	0/18 audited; unknown	0/18 audited; unknown	None audited; unknown	EXPLORATORY_PROGNOSTIC_CONTEXT_ONLY
